AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Red;People_person;0,275;0,184;0,911;0,604;0,817;0,183;0,000;0,000;0,000;teamScores;Gratification;1,000;0,198;0,126;0,155;Chant;1,128
2;NPC_2;Red;People_person;0,670;0,592;0,833;0,594;0,524;0,476;0,000;0,000;0,000;teamScores;Gratification;1,000;0,163;0,084;0,127;Celebrate;1,128
3;NPC_3;Red;Sensible;0,265;0,580;0,797;0,453;0,548;0,452;0,000;0,000;0,000;teamScores;Gratification;1,000;0,158;0,082;0,123;Chant;1,128
4;NPC_4;Red;Sensible;0,555;0,637;0,991;0,906;0,400;0,600;0,000;0,000;0,000;teamScores;Gratification;1,000;0,160;0,079;0,115;Chant;1,128
5;NPC_5;Red;Pronoid;0,449;0,350;0,672;0,876;0,362;0,638;0,000;0,000;0,000;teamScores;Gratification;1,000;0,154;0,074;0,091;Chant;1,128
6;NPC_6;Red;Sensible;0,092;0,464;0,826;0,386;0,184;0,816;0,000;0,000;0,000;teamScores;Gratification;1,000;0,114;0,040;0,086;Chant;1,128
7;NPC_7;Blue;Pronoid;0,370;0,070;0,266;0,584;0,645;0,355;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,051;-0,058;-0,125;WatchCalmly;1,128
8;NPC_8;Red;Sensible;0,069;0,242;0,913;0,912;0,331;0,669;0,000;0,000;0,000;teamScores;Gratification;1,000;0,150;0,071;0,095;Chant;1,128
9;NPC_9;Blue;People_person;0,716;0,138;0,759;0,351;0,914;0,086;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,074;-0,060;-0,090;Boo;1,128
10;NPC_10;Blue;Pronoid;0,477;0,279;0,413;0,479;0,593;0,407;0,000;0,000;0,000;enemyScores;Distress;1,000;-0,032;-0,044;-0,067;WatchCalmly;1,128
11;NPC_11;Blue;Pronoid;0,656;0,438;0,447;0,698;0,319;0,681;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,005;0,004;-0,037;WatchCalmly;1,128
12;NPC_12;Red;Pronoid;0,313;0,200;0,365;0,461;0,600;0,400;0,000;0,000;0,000;teamScores;Gratification;1,000;0,156;0,089;0,097;Chant;1,128
13;NPC_13;Blue;People_person;0,401;0,764;0,921;0,413;0,654;0,346;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,049;-0,065;-0,071;ComfortAlly;1,128
14;NPC_14;Red;Sensible;0,524;0,841;0,930;0,579;0,420;0,580;0,000;0,000;0,000;teamScores;Gratification;1,000;0,152;0,071;0,120;Celebrate;1,128
15;NPC_15;Blue;Sensible;0,343;0,431;0,804;0,419;0,326;0,674;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,002;-0,005;-0,017;WatchCalmly;1,128
16;NPC_16;Blue;People_person;0,588;0,524;0,682;0,654;0,569;0,431;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,002;0,018;-0,030;FormGroup;1,128
17;NPC_17;Blue;People_person;0,632;0,586;0,992;0,734;0,465;0,535;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,013;0,014;-0,009;FormGroup;1,128
18;NPC_18;Red;People_person;0,312;0,293;0,665;0,290;0,742;0,258;0,000;0,000;0,000;teamScores;Gratification;1,000;0,165;0,101;0,137;Chant;1,128
19;NPC_19;Red;Sensible;0,251;0,356;0,579;0,404;0,447;0,553;0,000;0,000;0,000;teamScores;Gratification;1,000;0,141;0,068;0,099;Chant;1,128
20;NPC_20;Blue;People_person;0,412;0,369;0,821;0,632;0,638;0,362;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,037;-0,056;-0,083;WatchCalmly;1,128
21;NPC_21;Red;Sensible;0,022;0,081;0,378;0,318;0,888;0,112;0,000;0,000;0,000;teamScores;Gratification;1,000;0,174;0,124;0,118;Chant;1,128
22;NPC_22;Blue;Pronoid;0,535;0,373;0,601;0,759;0,245;0,755;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,010;0,002;-0,029;FormGroup;1,128
23;NPC_23;Blue;People_person;0,574;0,271;0,621;0,501;0,783;0,217;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,058;-0,058;-0,102;WatchCalmly;1,128
24;NPC_24;Red;Sensible;0,195;0,971;0,973;0,626;0,497;0,503;0,000;0,000;0,000;teamScores;Gratification;1,000;0,164;0,082;0,124;Chant;1,128
25;NPC_25;Red;People_person;0,125;0,638;0,822;0,060;0,954;0,046;0,000;0,000;0,000;teamScores;Gratification;1,000;0,171;0,121;0,175;Chant;1,128
26;NPC_26;Blue;People_person;0,884;0,725;0,946;0,654;0,516;0,484;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,008;0,014;-0,006;FormGroup;1,128
27;NPC_27;Red;Sensible;0,129;0,621;0,686;0,439;0,557;0,443;0,000;0,000;0,000;teamScores;Gratification;1,000;0,156;0,082;0,114;Chant;1,128
28;NPC_28;Blue;Sensible;0,359;0,710;0,827;0,406;0,630;0,370;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,050;-0,065;-0,078;WatchCalmly;1,128
29;NPC_29;Blue;Sensible;0,271;0,274;0,529;0,438;0,540;0,460;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,011;0,008;-0,041;Boo;1,128
30;NPC_30;Blue;People_person;0,301;0,321;0,494;0,341;0,779;0,221;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,070;-0,065;-0,114;Boo;1,128
31;NPC_31;Red;Sensible;0,285;0,371;0,836;0,775;0,165;0,835;0,000;0,000;0,000;teamScores;Gratification;1,000;0,125;0,049;0,081;Chant;1,128
32;NPC_32;Blue;Sensible;0,215;0,303;0,459;0,341;0,728;0,272;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,067;-0,066;-0,114;WatchCalmly;1,128
33;NPC_33;Red;People_person;0,642;0,639;0,897;0,806;0,534;0,466;0,000;0,000;0,000;teamScores;Gratification;1,000;0,177;0,093;0,127;Celebrate;1,128
