AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Red;Avoidant;0,350;0,594;0,449;0,592;0,924;0,076;0,000;0,000;0,000;teamScores;Gratification;1,000;0,197;0,143;0,126;Chant;2,276
2;NPC_2;Blue;Dependent;0,469;0,492;0,370;0,546;0,648;0,352;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,051;-0,059;-0,115;WatchCalmly;2,276
3;NPC_3;Red;Avoidant;0,160;0,517;0,468;0,260;0,850;0,150;0,000;0,000;0,000;teamScores;Gratification;1,000;0,168;0,115;0,128;Chant;2,276
4;NPC_4;Blue;Obsessive_Compulsive;0,320;0,540;0,487;0,402;0,541;0,459;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,014;0,006;-0,042;Boo;2,276
5;NPC_5;Blue;Obsessive_Compulsive;0,004;0,612;0,435;0,417;0,934;0,066;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,079;-0,056;-0,141;Boo;2,276
6;NPC_6;Blue;Obsessive_Compulsive;0,196;0,440;0,329;0,245;0,722;0,278;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,075;-0,071;-0,122;Boo;2,276
7;NPC_7;Blue;Obsessive_Compulsive;0,572;0,977;0,759;0,829;0,072;0,928;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,015;-0,003;-0,018;FormGroup;2,276
8;NPC_8;Blue;Dependent;0,457;0,406;0,328;0,510;0,916;0,084;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,073;-0,052;-0,141;WatchCalmly;2,276
9;NPC_9;Red;Dependent;0,318;0,449;0,403;0,697;0,900;0,100;0,000;0,000;0,000;teamScores;Gratification;1,000;0,201;0,144;0,116;Chant;2,276
10;NPC_10;Blue;Dependent;0,673;0,845;0,851;0,905;0,510;0,490;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,019;0,023;-0,022;FormGroup;2,276
11;NPC_11;Blue;Obsessive_Compulsive;0,164;0,430;0,419;0,189;0,749;0,251;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,079;-0,073;-0,116;Boo;2,276
12;NPC_12;Red;Avoidant;0,604;0,774;0,519;0,353;0,654;0,346;0,000;0,000;0,000;teamScores;Gratification;1,000;0,158;0,091;0,122;Celebrate;2,276
13;NPC_13;Red;Obsessive_Compulsive;0,013;0,594;0,288;0,067;0,743;0,257;0,000;0,000;0,000;teamScores;Gratification;1,000;0,144;0,091;0,106;Chant;2,276
14;NPC_14;Red;Dependent;0,447;0,647;0,625;0,834;0,636;0,364;0,000;0,000;0,000;teamScores;Gratification;1,000;0,186;0,109;0,112;Chant;2,276
