AgentID;AgentName;Team;Personality;Openness;Conscientiousness;Extraversion;Agreeableness;Neuroticism;Stability;PrevMood_P;PrevMood_A;PrevMood_D;EventID;Emotion;EmotionIntensity;NewMood_P;NewMood_A;NewMood_D;Action;Time
1;NPC_1;Blue;Obsessive_Compulsive;0,287;0,575;0,534;0,357;0,458;0,542;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,013;0,000;-0,036;Boo;3,737
2;NPC_2;Red;Avoidant;0,277;0,451;0,424;0,139;0,907;0,093;0,000;0,000;0,000;teamScores;Gratification;1,000;0,164;0,118;0,135;Chant;3,737
3;NPC_3;Red;Obsessive_Compulsive;0,265;0,909;0,299;0,648;0,661;0,339;0,000;0,000;0,000;teamScores;Gratification;1,000;0,172;0,105;0,091;Chant;3,737
4;NPC_4;Red;Accommodating;0,580;0,519;0,652;0,529;0,196;0,804;0,000;0,000;0,000;teamScores;Gratification;1,000;0,119;0,045;0,083;Celebrate;3,737
5;NPC_5;Red;Laissez_faire;0,372;0,054;0,314;0,232;0,814;0,186;0,000;0,000;0,000;teamScores;Gratification;1,000;0,160;0,108;0,117;Chant;3,737
6;NPC_6;Red;Independent;0,582;0,306;0,415;0,287;0,223;0,777;0,000;0,000;0,000;teamScores;Gratification;1,000;0,110;0,041;0,078;Celebrate;3,737
7;NPC_7;Blue;Laissez_faire;0,604;0,135;0,474;0,293;0,790;0,210;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,075;-0,067;-0,108;Boo;3,737
8;NPC_8;Red;Accommodating;0,152;0,118;0,166;0,307;0,590;0,410;0,000;0,000;0,000;teamScores;Gratification;0,993;0,142;0,081;0,082;Chant;3,737
9;NPC_9;Red;Laissez_faire;0,856;0,236;0,669;0,674;0,579;0,421;0,000;0,000;0,000;teamScores;Gratification;1,000;0,171;0,094;0,123;Celebrate;3,737
10;NPC_10;Blue;Obsessive_Compulsive;0,131;0,492;0,345;0,310;0,731;0,269;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,072;-0,068;-0,125;Boo;3,737
11;NPC_11;Blue;Avoidant;0,233;0,380;0,376;0,179;0,862;0,138;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,090;-0,070;-0,127;Boo;3,737
12;NPC_12;Blue;Independent;0,522;0,449;0,402;0,398;0,365;0,635;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,010;-0,004;-0,038;WatchCalmly;3,737
13;NPC_13;Red;Independent;0,439;0,443;0,475;0,298;0,405;0,595;0,000;0,000;0,000;teamScores;Gratification;1,000;0,130;0,059;0,095;Celebrate;3,737
14;NPC_14;Blue;Obsessive_Compulsive;0,312;0,888;0,592;0,812;0,125;0,875;0,000;0,000;0,000;enemyScores;Disappointment;1,000;0,012;-0,002;-0,030;FormGroup;3,737
15;NPC_15;Blue;Dependent;0,672;0,546;0,704;0,741;0,643;0,357;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,033;-0,051;-0,090;WatchCalmly;3,737
16;NPC_16;Red;Dependent;0,409;0,601;0,663;0,942;0,620;0,380;0,000;0,000;0,000;teamScores;Gratification;1,000;0,191;0,111;0,110;Chant;3,737
17;NPC_17;Red;Obsessive_Compulsive;0,121;0,698;0,285;0,402;0,582;0,418;0,000;0,000;0,000;teamScores;Gratification;1,000;0,149;0,084;0,088;Chant;3,737
18;NPC_18;Red;Accommodating;0,283;0,239;0,338;0,353;0,601;0,399;0,000;0,000;0,000;teamScores;Gratification;1,000;0,150;0,085;0,097;Chant;3,737
19;NPC_19;Red;Accommodating;0,557;0,207;0,529;0,467;0,308;0,692;0,000;0,000;0,000;teamScores;Gratification;1,000;0,128;0,055;0,088;Celebrate;3,737
20;NPC_20;Blue;Obsessive_Compulsive;0,125;0,583;0,569;0,484;0,509;0,491;0,000;0,000;0,000;enemyScores;Disappointment;1,000;-0,007;0,007;-0,041;Boo;3,737
21;NPC_21;Blue;Laissez_faire;0,388;0,224;0,317;0,344;0,762;0,238;0,000;0,000;0,000;enemyScores;FearsConfirmed;1,000;-0,073;-0,065;-0,125;WatchCalmly;3,737
22;NPC_22;Red;Independent;0,369;0,430;0,431;0,309;0,476;0,524;0,000;0,000;0,000;teamScores;Gratification;1,000;0,137;0,068;0,097;Chant;3,737
